Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,0.001,2,0,0.3127839667667697,4.731226623336582
linear,0.001,2,1,0.3127839667667697,4.731226623336582
linear,0.001,2,10,0.3127839667667697,4.731226623336582
linear,0.001,3,0,0.3127839667667697,4.731226623336582
linear,0.001,3,1,0.3127839667667697,4.731226623336582
linear,0.001,3,10,0.3127839667667697,4.731226623336582
linear,0.001,4,0,0.3127839667667697,4.731226623336582
linear,0.001,4,1,0.3127839667667697,4.731226623336582
linear,0.001,4,10,0.3127839667667697,4.731226623336582
linear,0.001,5,0,0.3127839667667697,4.731226623336582
linear,0.001,5,1,0.3127839667667697,4.731226623336582
linear,0.001,5,10,0.3127839667667697,4.731226623336582
linear,0.001,6,0,0.3127839667667697,4.731226623336582
linear,0.001,6,1,0.3127839667667697,4.731226623336582
linear,0.001,6,10,0.3127839667667697,4.731226623336582
linear,0.0001,2,0,0.3127839667667697,4.731226623336582
linear,0.0001,2,1,0.3127839667667697,4.731226623336582
linear,0.0001,2,10,0.3127839667667697,4.731226623336582
linear,0.0001,3,0,0.3127839667667697,4.731226623336582
linear,0.0001,3,1,0.3127839667667697,4.731226623336582
linear,0.0001,3,10,0.3127839667667697,4.731226623336582
linear,0.0001,4,0,0.3127839667667697,4.731226623336582
linear,0.0001,4,1,0.3127839667667697,4.731226623336582
linear,0.0001,4,10,0.3127839667667697,4.731226623336582
linear,0.0001,5,0,0.3127839667667697,4.731226623336582
linear,0.0001,5,1,0.3127839667667697,4.731226623336582
linear,0.0001,5,10,0.3127839667667697,4.731226623336582
linear,0.0001,6,0,0.3127839667667697,4.731226623336582
linear,0.0001,6,1,0.3127839667667697,4.731226623336582
linear,0.0001,6,10,0.3127839667667697,4.731226623336582
linear,1e-05,2,0,0.3127839667667697,4.731226623336582
linear,1e-05,2,1,0.3127839667667697,4.731226623336582
linear,1e-05,2,10,0.3127839667667697,4.731226623336582
linear,1e-05,3,0,0.3127839667667697,4.731226623336582
linear,1e-05,3,1,0.3127839667667697,4.731226623336582
linear,1e-05,3,10,0.3127839667667697,4.731226623336582
linear,1e-05,4,0,0.3127839667667697,4.731226623336582
linear,1e-05,4,1,0.3127839667667697,4.731226623336582
linear,1e-05,4,10,0.3127839667667697,4.731226623336582
linear,1e-05,5,0,0.3127839667667697,4.731226623336582
linear,1e-05,5,1,0.3127839667667697,4.731226623336582
linear,1e-05,5,10,0.3127839667667697,4.731226623336582
linear,1e-05,6,0,0.3127839667667697,4.731226623336582
linear,1e-05,6,1,0.3127839667667697,4.731226623336582
linear,1e-05,6,10,0.3127839667667697,4.731226623336582
linear,1e-06,2,0,0.3127839667667697,4.731226623336582
linear,1e-06,2,1,0.3127839667667697,4.731226623336582
linear,1e-06,2,10,0.3127839667667697,4.731226623336582
linear,1e-06,3,0,0.3127839667667697,4.731226623336582
linear,1e-06,3,1,0.3127839667667697,4.731226623336582
linear,1e-06,3,10,0.3127839667667697,4.731226623336582
linear,1e-06,4,0,0.3127839667667697,4.731226623336582
linear,1e-06,4,1,0.3127839667667697,4.731226623336582
linear,1e-06,4,10,0.3127839667667697,4.731226623336582
linear,1e-06,5,0,0.3127839667667697,4.731226623336582
linear,1e-06,5,1,0.3127839667667697,4.731226623336582
linear,1e-06,5,10,0.3127839667667697,4.731226623336582
linear,1e-06,6,0,0.3127839667667697,4.731226623336582
linear,1e-06,6,1,0.3127839667667697,4.731226623336582
linear,1e-06,6,10,0.3127839667667697,4.731226623336582
rbf,0.001,2,0,0.00679781800637784,21.35997612143082
rbf,0.001,2,1,0.00679781800637784,21.35997612143082
rbf,0.001,2,10,0.00679781800637784,21.35997612143082
rbf,0.001,3,0,0.00679781800637784,21.35997612143082
rbf,0.001,3,1,0.00679781800637784,21.35997612143082
rbf,0.001,3,10,0.00679781800637784,21.35997612143082
rbf,0.001,4,0,0.00679781800637784,21.35997612143082
rbf,0.001,4,1,0.00679781800637784,21.35997612143082
rbf,0.001,4,10,0.00679781800637784,21.35997612143082
rbf,0.001,5,0,0.00679781800637784,21.35997612143082
rbf,0.001,5,1,0.00679781800637784,21.35997612143082
rbf,0.001,5,10,0.00679781800637784,21.35997612143082
rbf,0.001,6,0,0.00679781800637784,21.35997612143082
rbf,0.001,6,1,0.00679781800637784,21.35997612143082
rbf,0.001,6,10,0.00679781800637784,21.35997612143082
rbf,0.0001,2,0,0.01526884368675578,17.845609963830814
rbf,0.0001,2,1,0.01526884368675578,17.845609963830814
rbf,0.0001,2,10,0.01526884368675578,17.845609963830814
rbf,0.0001,3,0,0.01526884368675578,17.845609963830814
rbf,0.0001,3,1,0.01526884368675578,17.845609963830814
