N,Noise,MSE,PSNR
109,speckle,0.0018316913534371783,27.055148501392978
101,speckle,0.0018380649312064088,27.040062963152153
104,speckle,0.0018390803871193972,27.037664325770923
92,speckle,0.001843205726121546,27.027933345292613
98,speckle,0.0018437723368548336,27.026598507316425
102,speckle,0.001844673211334658,27.024477045480303
111,speckle,0.001846225406262102,27.020824223761743
89,speckle,0.0018462656400204849,27.02072958142391
93,speckle,0.0018526875535432833,27.00564961548508
103,speckle,0.0018538420872035173,27.002944078702015
99,speckle,0.001856201488675694,26.997420288174272
90,speckle,0.001856306147132779,26.997175426237987
94,speckle,0.001856822504311773,26.995967544173972
82,speckle,0.0018573243157453566,26.994794009855347
79,speckle,0.0018613215986622326,26.985457285563783
80,speckle,0.0018619723079486752,26.983939277786845
85,speckle,0.0018645896637756703,26.977838730481434
96,speckle,0.0018666347115415998,26.973078078429623
113,speckle,0.00187219726106295,26.960155399033646
88,speckle,0.0018722415188890265,26.960052735159156
93,speckle,0.0018734612567135214,26.957224291702715
94,speckle,0.001874561465981194,26.954674601570265
73,speckle,0.0018746996550749499,26.954354459766495
122,speckle,0.0018763073096475357,26.950631749790226
117,speckle,0.0018773335033316543,26.948257147170082
100,speckle,0.0018778830653068596,26.946985999524465
99,speckle,0.0018785361290629278,26.945475933827467
95,speckle,0.001878862820151288,26.944720729819387
97,speckle,0.0018796639782448384,26.94286926746143
87,speckle,0.0018798868106607435,26.94235444590873
95,speckle,0.0018821385417225997,26.937155573492543
110,speckle,0.001884680147726908,26.931294895178276
88,speckle,0.0018876361623290316,26.924488567249355
115,speckle,0.001888246363306277,26.923084885234477
84,speckle,0.0018892838148382887,26.920699413957347
69,speckle,0.001889431236336041,26.92036054562696
89,speckle,0.0018894613410956832,26.920291349000042
119,speckle,0.0018901905700254372,26.91861553275234
91,speckle,0.0018921498150882188,26.91411625818194
120,speckle,0.001894402099543588,26.9089497909154
106,speckle,0.0018947138953765545,26.908235053175915
107,speckle,0.0018971200453775424,26.902723325475556
116,speckle,0.0018987402683194406,26.89901584486404
86,speckle,0.0018994034547119743,26.8974992187715
79,speckle,0.0019000064044335109,26.89612080607672
76,speckle,0.0019008301805864436,26.89423826556154
92,speckle,0.001900931593802827,26.894006566665645
108,speckle,0.0019014461418698997,26.892831168516903
74,speckle,0.0019016087350054334,26.89245981809527
87,speckle,0.0019027731802369354,26.889801240877844
91,speckle,0.001902821624485134,26.88969067172504
75,speckle,0.0019055211640037128,26.88353368755594
74,speckle,0.0019056085588271062,26.883334507300667
81,speckle,0.001906042189665051,26.882346360729315
81,speckle,0.0019070100239683332,26.88014169589501
84,speckle,0.0019071207384830252,26.87988956661154
77,speckle,0.0019083217669103344,26.8771554143601
72,speckle,0.0019097536883461886,26.873897879957998
70,speckle,0.0019102631208739041,26.872739540882282
78,speckle,0.001912410795179118,26.86785958921337
59,speckle,0.0019145360697566624,26.863035926126226
72,speckle,0.001916505970869673,26.85856968822227
67,speckle,0.001916618549995329,26.858314583057812
82,speckle,0.0019166640155563134,26.858211561994715
69,speckle,0.0019172491766979963,26.8568858551042
86,speckle,0.0019178591133657452,26.855504448837088
80,speckle,0.0019184782952439794,26.854102552983285
98,speckle,0.0019194942159519827,26.851803376704378
73,speckle,0.0019200616963723728,26.85051961565187
68,speckle,0.0019210998145945055,26.84817215369212
63,speckle,0.0019211723101415158,26.848008269328854
75,speckle,0.0019236571126320743,26.84239482830535
60,speckle,0.0019238446453520807,26.84197146566298
70,speckle,0.0019244960294981365,26.840501260362384
62,speckle,0.0019249948119690746,26.839375820739683
90,speckle,0.0019276232433304862,26.83344991063364
76,speckle,0.0019281585696120478,26.832243985283746
83,speckle,0.0019289246393171078,26.8305188482721
85,speckle,0.0019291021837442351,26.830119128059753
71,speckle,0.0019291812770923051,26.829941070615423
61,speckle,0.0019296015609141766,26.828995036837124
64,speckle,0.0019319215136666572,26.823776666880804
66,speckle,0.0019321919401069235,26.823168792850367
105,speckle,0.001932859358692081,26.821668909981415
78,speckle,0.0019333706965352138,26.820520136102036
64,speckle,0.0019356096910187546,26.81549357633507
68,speckle,0.0019365581249140198,26.813366087884255
112,speckle,0.001937158271870766,26.81202040076091
77,speckle,0.001938182607722861,26.809724533468913
63,speckle,0.0019405653191692828,26.80438879841823
83,speckle,0.0019418163307247979,26.80158996263568
118,speckle,0.0019423561062212804,26.800382902316386
65,speckle,0.0019427173472294787,26.7995752729172
67,speckle,0.0019440691573219082,26.796554352232683
127,speckle,0.001945632646577924,26.793063005969113
61,speckle,0.0019477092146414428,26.788430265413844
96,speckle,0.00194906810026976,26.785401318639902
71,speckle,0.0019519625534195931,26.77895663581954
66,speckle,0.001953333109258535,26.77590833979362
133,speckle,0.0019538865393863,26.774678044730486
59,speckle,0.0019541508412591916,26.774090615113273
56,speckle,0.0019587146728810736,26.7639596878869
65,speckle,0.0019600269617056796,26.761050999998606
56,speckle,0.001960990715166836,26.7589160806842
114,speckle,0.0019609978703062506,26.758900234449577
121,speckle,0.0019638052472511405,26.752687293381175
141,speckle,0.0019643404230563592,26.75150391618491
58,speckle,0.0019659289866814133,26.74799319270945
123,speckle,0.001968200150485579,26.742978847817188
57,speckle,0.001969511546699443,26.740086141574967
53,speckle,0.0019698850288703985,26.739262658874964
55,speckle,0.0019742762154201987,26.729592319568738
97,speckle,0.0019766334019337586,26.724410154871148
57,speckle,0.0019768004515882485,26.72404313852091
125,speckle,0.001979509728635841,26.718095049508452
60,speckle,0.0019802006178857782,26.716579537687434
62,speckle,0.0019838351695391373,26.708615602676666
47,speckle,0.0019900411201708183,26.695050951394634
58,speckle,0.001991122795515178,26.692691010157475
126,speckle,0.001992505156600693,26.689676914349583
135,speckle,0.001998278972868829,26.677110269735323
124,speckle,0.0020060434188673387,26.66026816788446
130,speckle,0.0020138970634230244,26.643298768223556
134,speckle,0.0020153259745165665,26.64021843127905
136,speckle,0.002020159531361714,26.62981478558827
49,speckle,0.0020212900305768026,26.627385114866463
128,speckle,0.0020224773373897975,26.62483481577601
55,speckle,0.0020236398132881766,26.622339302852865
50,speckle,0.002024248602198877,26.621032974024516
137,speckle,0.002029932808172969,26.608854826792047
54,speckle,0.002032616237706047,26.603117548078025
53,speckle,0.002032856424884739,26.6026043877392
51,speckle,0.002033686092601541,26.600832267493708
54,speckle,0.0020360805420229994,26.59572191899324
50,speckle,0.0020388606041211467,26.589796111613
52,speckle,0.002040995289348051,26.585251430999502
132,speckle,0.002046190289467631,26.574211261391834
143,speckle,0.0020465280293497693,26.57349448317238
129,speckle,0.002050953805964971,26.564112666794188
51,speckle,0.0020536174353710055,26.558476025852926
49,speckle,0.002056397613368107,26.552600543000956
139,speckle,0.002060702400656136,26.543518684217418
52,speckle,0.0020609263695544533,26.54304669383606
48,speckle,0.002071251450676126,26.521343198567017
48,speckle,0.002089961761817757,26.482288051764584
43,speckle,0.002099591911854202,26.462322543682184
47,speckle,0.002102158661215281,26.45701653989533
140,speckle,0.002106701151991219,26.447642127196318
44,speckle,0.0021083507572976596,26.44424281191433
131,speckle,0.0021093344775760916,26.442216940979844
138,speckle,0.002117936958289327,26.42454116539585
45,speckle,0.0021182753403414917,26.423847350034467
