Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,0.001,2,0,0.32009113,4.630935
linear,0.001,2,1,0.32009113,4.630935
linear,0.001,2,10,0.32009113,4.630935
linear,0.001,3,0,0.32009113,4.630935
linear,0.001,3,1,0.32009113,4.630935
linear,0.001,3,10,0.32009113,4.630935
linear,0.001,4,0,0.32009113,4.630935
linear,0.001,4,1,0.32009113,4.630935
linear,0.001,4,10,0.32009113,4.630935
linear,0.001,5,0,0.32009113,4.630935
linear,0.001,5,1,0.32009113,4.630935
linear,0.001,5,10,0.32009113,4.630935
linear,0.001,6,0,0.32009113,4.630935
linear,0.001,6,1,0.32009113,4.630935
linear,0.001,6,10,0.32009113,4.630935
linear,0.0001,2,0,0.32009113,4.630935
linear,0.0001,2,1,0.32009113,4.630935
linear,0.0001,2,10,0.32009113,4.630935
linear,0.0001,3,0,0.32009113,4.630935
linear,0.0001,3,1,0.32009113,4.630935
linear,0.0001,3,10,0.32009113,4.630935
linear,0.0001,4,0,0.32009113,4.630935
linear,0.0001,4,1,0.32009113,4.630935
linear,0.0001,4,10,0.32009113,4.630935
linear,0.0001,5,0,0.32009113,4.630935
linear,0.0001,5,1,0.32009113,4.630935
linear,0.0001,5,10,0.32009113,4.630935
linear,0.0001,6,0,0.32009113,4.630935
linear,0.0001,6,1,0.32009113,4.630935
linear,0.0001,6,10,0.32009113,4.630935
linear,1e-05,2,0,0.32009113,4.630935
linear,1e-05,2,1,0.32009113,4.630935
linear,1e-05,2,10,0.32009113,4.630935
linear,1e-05,3,0,0.32009113,4.630935
linear,1e-05,3,1,0.32009113,4.630935
linear,1e-05,3,10,0.32009113,4.630935
linear,1e-05,4,0,0.32009113,4.630935
linear,1e-05,4,1,0.32009113,4.630935
linear,1e-05,4,10,0.32009113,4.630935
linear,1e-05,5,0,0.32009113,4.630935
linear,1e-05,5,1,0.32009113,4.630935
linear,1e-05,5,10,0.32009113,4.630935
linear,1e-05,6,0,0.32009113,4.630935
linear,1e-05,6,1,0.32009113,4.630935
linear,1e-05,6,10,0.32009113,4.630935
linear,1e-06,2,0,0.32009113,4.630935
linear,1e-06,2,1,0.32009113,4.630935
linear,1e-06,2,10,0.32009113,4.630935
linear,1e-06,3,0,0.32009113,4.630935
linear,1e-06,3,1,0.32009113,4.630935
linear,1e-06,3,10,0.32009113,4.630935
linear,1e-06,4,0,0.32009113,4.630935
linear,1e-06,4,1,0.32009113,4.630935
linear,1e-06,4,10,0.32009113,4.630935
linear,1e-06,5,0,0.32009113,4.630935
linear,1e-06,5,1,0.32009113,4.630935
linear,1e-06,5,10,0.32009113,4.630935
linear,1e-06,6,0,0.32009113,4.630935
linear,1e-06,6,1,0.32009113,4.630935
linear,1e-06,6,10,0.32009113,4.630935
rbf,0.001,2,0,0.010353084,19.532974
rbf,0.001,2,1,0.010353084,19.532974
rbf,0.001,2,10,0.010353084,19.532974
rbf,0.001,3,0,0.010353084,19.532974
rbf,0.001,3,1,0.010353084,19.532974
rbf,0.001,3,10,0.010353084,19.532974
rbf,0.001,4,0,0.010353084,19.532974
rbf,0.001,4,1,0.010353084,19.532974
rbf,0.001,4,10,0.010353084,19.532974
rbf,0.001,5,0,0.010353084,19.532974
rbf,0.001,5,1,0.010353084,19.532974
rbf,0.001,5,10,0.010353084,19.532974
rbf,0.001,6,0,0.010353084,19.532974
rbf,0.001,6,1,0.010353084,19.532974
rbf,0.001,6,10,0.010353084,19.532974
rbf,0.0001,2,0,0.02071448,16.520931
rbf,0.0001,2,1,0.02071448,16.520931
rbf,0.0001,2,10,0.02071448,16.520931
rbf,0.0001,3,0,0.02071448,16.520931
rbf,0.0001,3,1,0.02071448,16.520931
rbf,0.0001,3,10,0.02071448,16.520931
rbf,0.0001,4,0,0.02071448,16.520931
rbf,0.0001,4,1,0.02071448,16.520931
rbf,0.0001,4,10,0.02071448,16.520931
rbf,0.0001,5,0,0.02071448,16.520931
rbf,0.0001,5,1,0.02071448,16.520931
rbf,0.0001,5,10,0.02071448,16.520931
rbf,0.0001,6,0,0.02071448,16.520931
rbf,0.0001,6,1,0.02071448,16.520931
rbf,0.0001,6,10,0.02071448,16.520931
rbf,1e-05,2,0,0.021107197,16.439365
rbf,1e-05,2,1,0.021107197,16.439365
rbf,1e-05,2,10,0.021107197,16.439365
rbf,1e-05,3,0,0.021107197,16.439365
rbf,1e-05,3,1,0.021107197,16.439365
rbf,1e-05,3,10,0.021107197,16.439365
rbf,1e-05,4,0,0.021107197,16.439365
rbf,1e-05,4,1,0.021107197,16.439365
rbf,1e-05,4,10,0.021107197,16.439365
rbf,1e-05,5,0,0.021107197,16.439365
rbf,1e-05,5,1,0.021107197,16.439365
rbf,1e-05,5,10,0.021107197,16.439365
rbf,1e-05,6,0,0.021107197,16.439365
rbf,1e-05,6,1,0.021107197,16.439365
rbf,1e-05,6,10,0.021107197,16.439365
rbf,1e-06,2,0,0.02111052,16.438683
rbf,1e-06,2,1,0.02111052,16.438683
rbf,1e-06,2,10,0.02111052,16.438683
rbf,1e-06,3,0,0.02111052,16.438683
rbf,1e-06,3,1,0.02111052,16.438683
rbf,1e-06,3,10,0.02111052,16.438683
rbf,1e-06,4,0,0.02111052,16.438683
rbf,1e-06,4,1,0.02111052,16.438683
rbf,1e-06,4,10,0.02111052,16.438683
rbf,1e-06,5,0,0.02111052,16.438683
rbf,1e-06,5,1,0.02111052,16.438683
rbf,1e-06,5,10,0.02111052,16.438683
rbf,1e-06,6,0,0.02111052,16.438683
rbf,1e-06,6,1,0.02111052,16.438683
rbf,1e-06,6,10,0.02111052,16.438683
poly,0.001,2,0,0.41897285,3.4618127
poly,0.001,2,1,0.0062558036,21.72084
poly,0.001,2,10,0.0054925326,22.285946
poly,0.001,3,0,0.4191972,3.459488
poly,0.001,3,1,0.004362646,23.286171
poly,0.001,3,10,0.009997617,19.684706
poly,0.001,4,0,0.4191976,3.4594836
poly,0.001,4,1,0.0063544405,21.652899
poly,0.001,4,10,0.022602579,16.142092
poly,0.001,5,0,0.4191976,3.4594836
poly,0.001,5,1,0.008574199,20.351736
poly,0.001,5,10,0.022630017,16.136822
poly,0.001,6,0,0.4191976,3.4594836
poly,0.001,6,1,0.014628042,18.031809
poly,0.001,6,10,0.022631068,16.136621
poly,0.0001,2,0,0.4191976,3.4594836
poly,0.0001,2,1,0.020609122,16.543076
poly,0.0001,2,10,0.008737327,20.269886
poly,0.0001,3,0,0.4191976,3.4594836
poly,0.0001,3,1,0.019749003,16.72822
poly,0.0001,3,10,0.012178969,18.827566
poly,0.0001,4,0,0.4191976,3.4594836
poly,0.0001,4,1,0.018482516,17.01606
poly,0.0001,5,0,0.4191976,3.4594836
poly,0.0001,5,1,0.016861439,17.414724
poly,0.0001,6,0,0.4191976,3.4594836
poly,0.0001,6,1,0.015054483,17.907013
poly,0.0001,6,10,0.022624463,16.137888
poly,1e-05,2,0,0.4191976,3.4594836
poly,1e-05,2,1,0.02111052,16.438683
poly,1e-05,2,10,0.014494308,18.071697
poly,1e-05,3,0,0.4191976,3.4594836
poly,1e-05,3,1,0.021110168,16.438755
poly,1e-05,4,0,0.4191976,3.4594836
poly,1e-05,4,1,0.02111157,16.438467
poly,1e-05,5,0,0.4191976,3.4594836
poly,1e-05,5,1,0.0211032,16.44019
poly,1e-05,6,0,0.4191976,3.4594836
poly,1e-05,6,1,0.021099735,16.440903
poly,1e-06,2,0,0.4191976,3.4594836
poly,1e-06,2,1,0.02111052,16.438683
poly,1e-06,2,10,0.014494308,18.071697
poly,1e-06,3,0,0.4191976,3.4594836
poly,1e-06,3,1,0.02111052,16.438683
poly,1e-06,4,0,0.4191976,3.4594836
poly,1e-06,4,1,0.02111052,16.438683
poly,1e-06,5,0,0.4191976,3.4594836
poly,1e-06,5,1,0.02111052,16.438683
poly,1e-06,6,0,0.4191976,3.4594836
poly,1e-06,6,1,0.02111052,16.438683
cosine,0.001,2,0,0.20591834,6.546721
cosine,0.001,2,1,0.20591834,6.546721
cosine,0.001,2,10,0.20591834,6.546721
cosine,0.001,3,0,0.20591834,6.546721
cosine,0.001,3,1,0.20591834,6.546721
cosine,0.001,3,10,0.20591834,6.546721
cosine,0.001,4,0,0.20591834,6.546721
cosine,0.001,4,1,0.20591834,6.546721
cosine,0.001,4,10,0.20591834,6.546721
cosine,0.001,5,0,0.20591834,6.546721
cosine,0.001,5,1,0.20591834,6.546721
cosine,0.001,5,10,0.20591834,6.546721
cosine,0.001,6,0,0.20591834,6.546721
cosine,0.001,6,1,0.20591834,6.546721
cosine,0.001,6,10,0.20591834,6.546721
cosine,0.0001,2,0,0.20591834,6.546721
cosine,0.0001,2,1,0.20591834,6.546721
cosine,0.0001,2,10,0.20591834,6.546721
cosine,0.0001,3,0,0.20591834,6.546721
cosine,0.0001,3,1,0.20591834,6.546721
cosine,0.0001,3,10,0.20591834,6.546721
cosine,0.0001,4,0,0.20591834,6.546721
cosine,0.0001,4,1,0.20591834,6.546721
cosine,0.0001,4,10,0.20591834,6.546721
cosine,0.0001,5,0,0.20591834,6.546721
cosine,0.0001,5,1,0.20591834,6.546721
cosine,0.0001,5,10,0.20591834,6.546721
cosine,0.0001,6,0,0.20591834,6.546721
cosine,0.0001,6,1,0.20591834,6.546721
cosine,0.0001,6,10,0.20591834,6.546721
cosine,1e-05,2,0,0.20591834,6.546721
cosine,1e-05,2,1,0.20591834,6.546721
cosine,1e-05,2,10,0.20591834,6.546721
cosine,1e-05,3,0,0.20591834,6.546721
cosine,1e-05,3,1,0.20591834,6.546721
cosine,1e-05,3,10,0.20591834,6.546721
cosine,1e-05,4,0,0.20591834,6.546721
cosine,1e-05,4,1,0.20591834,6.546721
cosine,1e-05,4,10,0.20591834,6.546721
cosine,1e-05,5,0,0.20591834,6.546721
cosine,1e-05,5,1,0.20591834,6.546721
cosine,1e-05,5,10,0.20591834,6.546721
cosine,1e-05,6,0,0.20591834,6.546721
cosine,1e-05,6,1,0.20591834,6.546721
cosine,1e-05,6,10,0.20591834,6.546721
cosine,1e-06,2,0,0.20591834,6.546721
cosine,1e-06,2,1,0.20591834,6.546721
cosine,1e-06,2,10,0.20591834,6.546721
cosine,1e-06,3,0,0.20591834,6.546721
cosine,1e-06,3,1,0.20591834,6.546721
cosine,1e-06,3,10,0.20591834,6.546721
cosine,1e-06,4,0,0.20591834,6.546721
cosine,1e-06,4,1,0.20591834,6.546721
cosine,1e-06,4,10,0.20591834,6.546721
cosine,1e-06,5,0,0.20591834,6.546721
cosine,1e-06,5,1,0.20591834,6.546721
cosine,1e-06,5,10,0.20591834,6.546721
cosine,1e-06,6,0,0.20591834,6.546721
cosine,1e-06,6,1,0.20591834,6.546721
cosine,1e-06,6,10,0.20591834,6.546721
sigmoid,0.001,2,0,0.41989738,3.4522402
sigmoid,0.001,2,1,0.021089016,16.443108
sigmoid,0.001,2,10,0.02111052,16.438683
sigmoid,0.001,3,0,0.41989738,3.4522402
sigmoid,0.001,3,1,0.021089016,16.443108
sigmoid,0.001,3,10,0.02111052,16.438683
sigmoid,0.001,4,0,0.41989738,3.4522402
sigmoid,0.001,4,1,0.021089016,16.443108
sigmoid,0.001,4,10,0.02111052,16.438683
sigmoid,0.001,5,0,0.41989738,3.4522402
sigmoid,0.001,5,1,0.021089016,16.443108
sigmoid,0.001,5,10,0.02111052,16.438683
sigmoid,0.001,6,0,0.41989738,3.4522402
sigmoid,0.001,6,1,0.021089016,16.443108
sigmoid,0.001,6,10,0.02111052,16.438683
sigmoid,0.0001,2,0,0.41863096,3.4653583
sigmoid,0.0001,2,1,0.0210954,16.441793
sigmoid,0.0001,2,10,0.02111052,16.438683
sigmoid,0.0001,3,0,0.41863096,3.4653583
sigmoid,0.0001,3,1,0.0210954,16.441793
sigmoid,0.0001,3,10,0.02111052,16.438683
sigmoid,0.0001,4,0,0.41863096,3.4653583
sigmoid,0.0001,4,1,0.0210954,16.441793
sigmoid,0.0001,4,10,0.02111052,16.438683
sigmoid,0.0001,5,0,0.41863096,3.4653583
sigmoid,0.0001,5,1,0.0210954,16.441793
sigmoid,0.0001,5,10,0.02111052,16.438683
sigmoid,0.0001,6,0,0.41863096,3.4653583
sigmoid,0.0001,6,1,0.0210954,16.441793
sigmoid,0.0001,6,10,0.02111052,16.438683
sigmoid,1e-05,2,0,0.41919166,3.4595454
sigmoid,1e-05,2,1,0.021111224,16.438538
sigmoid,1e-05,2,10,0.02111052,16.438683
sigmoid,1e-05,3,0,0.41919166,3.4595454
sigmoid,1e-05,3,1,0.021111224,16.438538
sigmoid,1e-05,3,10,0.02111052,16.438683
sigmoid,1e-05,4,0,0.41919166,3.4595454
sigmoid,1e-05,4,1,0.021111224,16.438538
sigmoid,1e-05,4,10,0.02111052,16.438683
sigmoid,1e-05,5,0,0.41919166,3.4595454
sigmoid,1e-05,5,1,0.021111224,16.438538
sigmoid,1e-05,5,10,0.02111052,16.438683
sigmoid,1e-05,6,0,0.41919166,3.4595454
sigmoid,1e-05,6,1,0.021111224,16.438538
sigmoid,1e-05,6,10,0.02111052,16.438683
sigmoid,1e-06,2,0,0.41919753,3.459484
sigmoid,1e-06,2,1,0.021111224,16.438538
sigmoid,1e-06,2,10,0.02111052,16.438683
sigmoid,1e-06,3,0,0.41919753,3.459484
sigmoid,1e-06,3,1,0.021111224,16.438538
sigmoid,1e-06,3,10,0.02111052,16.438683
sigmoid,1e-06,4,0,0.41919753,3.459484
sigmoid,1e-06,4,1,0.021111224,16.438538
sigmoid,1e-06,4,10,0.02111052,16.438683
sigmoid,1e-06,5,0,0.41919753,3.459484
sigmoid,1e-06,5,1,0.021111224,16.438538
sigmoid,1e-06,5,10,0.02111052,16.438683
sigmoid,1e-06,6,0,0.41919753,3.459484
sigmoid,1e-06,6,1,0.021111224,16.438538
sigmoid,1e-06,6,10,0.02111052,16.438683
