Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,0.001,2,0,0.3121096339491508,4.740599711331084
linear,0.001,2,1,0.3121096339491508,4.740599711331084
linear,0.001,2,10,0.3121096339491508,4.740599711331084
linear,0.001,3,0,0.3121096339491508,4.740599711331084
linear,0.001,3,1,0.3121096339491508,4.740599711331084
linear,0.001,3,10,0.3121096339491508,4.740599711331084
linear,0.001,4,0,0.3121096339491508,4.740599711331084
linear,0.001,4,1,0.3121096339491508,4.740599711331084
linear,0.001,4,10,0.3121096339491508,4.740599711331084
linear,0.001,5,0,0.3121096339491508,4.740599711331084
linear,0.001,5,1,0.3121096339491508,4.740599711331084
linear,0.001,5,10,0.3121096339491508,4.740599711331084
linear,0.001,6,0,0.3121096339491508,4.740599711331084
linear,0.001,6,1,0.3121096339491508,4.740599711331084
linear,0.001,6,10,0.3121096339491508,4.740599711331084
linear,0.0001,2,0,0.3121096339491508,4.740599711331084
linear,0.0001,2,1,0.3121096339491508,4.740599711331084
linear,0.0001,2,10,0.3121096339491508,4.740599711331084
linear,0.0001,3,0,0.3121096339491508,4.740599711331084
linear,0.0001,3,1,0.3121096339491508,4.740599711331084
linear,0.0001,3,10,0.3121096339491508,4.740599711331084
linear,0.0001,4,0,0.3121096339491508,4.740599711331084
linear,0.0001,4,1,0.3121096339491508,4.740599711331084
linear,0.0001,4,10,0.3121096339491508,4.740599711331084
linear,0.0001,5,0,0.3121096339491508,4.740599711331084
linear,0.0001,5,1,0.3121096339491508,4.740599711331084
linear,0.0001,5,10,0.3121096339491508,4.740599711331084
linear,0.0001,6,0,0.3121096339491508,4.740599711331084
linear,0.0001,6,1,0.3121096339491508,4.740599711331084
linear,0.0001,6,10,0.3121096339491508,4.740599711331084
linear,1e-05,2,0,0.3121096339491508,4.740599711331084
linear,1e-05,2,1,0.3121096339491508,4.740599711331084
linear,1e-05,2,10,0.3121096339491508,4.740599711331084
linear,1e-05,3,0,0.3121096339491508,4.740599711331084
linear,1e-05,3,1,0.3121096339491508,4.740599711331084
linear,1e-05,3,10,0.3121096339491508,4.740599711331084
linear,1e-05,4,0,0.3121096339491508,4.740599711331084
linear,1e-05,4,1,0.3121096339491508,4.740599711331084
linear,1e-05,4,10,0.3121096339491508,4.740599711331084
linear,1e-05,5,0,0.3121096339491508,4.740599711331084
linear,1e-05,5,1,0.3121096339491508,4.740599711331084
linear,1e-05,5,10,0.3121096339491508,4.740599711331084
linear,1e-05,6,0,0.3121096339491508,4.740599711331084
linear,1e-05,6,1,0.3121096339491508,4.740599711331084
linear,1e-05,6,10,0.3121096339491508,4.740599711331084
linear,1e-06,2,0,0.3121096339491508,4.740599711331084
linear,1e-06,2,1,0.3121096339491508,4.740599711331084
linear,1e-06,2,10,0.3121096339491508,4.740599711331084
linear,1e-06,3,0,0.3121096339491508,4.740599711331084
linear,1e-06,3,1,0.3121096339491508,4.740599711331084
linear,1e-06,3,10,0.3121096339491508,4.740599711331084
linear,1e-06,4,0,0.3121096339491508,4.740599711331084
