Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,0.001,2,0,0.32770225,4.5288773
linear,0.001,2,1,0.32770225,4.5288773
linear,0.001,2,10,0.32770225,4.5288773
linear,0.001,3,0,0.32770225,4.5288773
linear,0.001,3,1,0.32770225,4.5288773
linear,0.001,3,10,0.32770225,4.5288773
linear,0.001,4,0,0.32770225,4.5288773
linear,0.001,4,1,0.32770225,4.5288773
linear,0.001,4,10,0.32770225,4.5288773
linear,0.001,5,0,0.32770225,4.5288773
linear,0.001,5,1,0.32770225,4.5288773
linear,0.001,5,10,0.32770225,4.5288773
linear,0.001,6,0,0.32770225,4.5288773
linear,0.001,6,1,0.32770225,4.5288773
linear,0.001,6,10,0.32770225,4.5288773
linear,0.0001,2,0,0.32770225,4.5288773
linear,0.0001,2,1,0.32770225,4.5288773
linear,0.0001,2,10,0.32770225,4.5288773
linear,0.0001,3,0,0.32770225,4.5288773
linear,0.0001,3,1,0.32770225,4.5288773
linear,0.0001,3,10,0.32770225,4.5288773
linear,0.0001,4,0,0.32770225,4.5288773
linear,0.0001,4,1,0.32770225,4.5288773
linear,0.0001,4,10,0.32770225,4.5288773
linear,0.0001,5,0,0.32770225,4.5288773
linear,0.0001,5,1,0.32770225,4.5288773
linear,0.0001,5,10,0.32770225,4.5288773
linear,0.0001,6,0,0.32770225,4.5288773
linear,0.0001,6,1,0.32770225,4.5288773
linear,0.0001,6,10,0.32770225,4.5288773
linear,1e-05,2,0,0.32770225,4.5288773
linear,1e-05,2,1,0.32770225,4.5288773
linear,1e-05,2,10,0.32770225,4.5288773
linear,1e-05,3,0,0.32770225,4.5288773
linear,1e-05,3,1,0.32770225,4.5288773
linear,1e-05,3,10,0.32770225,4.5288773
linear,1e-05,4,0,0.32770225,4.5288773
linear,1e-05,4,1,0.32770225,4.5288773
linear,1e-05,4,10,0.32770225,4.5288773
linear,1e-05,5,0,0.32770225,4.5288773
linear,1e-05,5,1,0.32770225,4.5288773
linear,1e-05,5,10,0.32770225,4.5288773
linear,1e-05,6,0,0.32770225,4.5288773
linear,1e-05,6,1,0.32770225,4.5288773
linear,1e-05,6,10,0.32770225,4.5288773
linear,1e-06,2,0,0.32770225,4.5288773
linear,1e-06,2,1,0.32770225,4.5288773
linear,1e-06,2,10,0.32770225,4.5288773
linear,1e-06,3,0,0.32770225,4.5288773
linear,1e-06,3,1,0.32770225,4.5288773
linear,1e-06,3,10,0.32770225,4.5288773
linear,1e-06,4,0,0.32770225,4.5288773
linear,1e-06,4,1,0.32770225,4.5288773
linear,1e-06,4,10,0.32770225,4.5288773
linear,1e-06,5,0,0.32770225,4.5288773
linear,1e-06,5,1,0.32770225,4.5288773
linear,1e-06,5,10,0.32770225,4.5288773
linear,1e-06,6,0,0.32770225,4.5288773
linear,1e-06,6,1,0.32770225,4.5288773
linear,1e-06,6,10,0.32770225,4.5288773
rbf,0.001,2,0,0.007527872,20.916948
rbf,0.001,2,1,0.007527872,20.916948
rbf,0.001,2,10,0.007527872,20.916948
rbf,0.001,3,0,0.007527872,20.916948
rbf,0.001,3,1,0.007527872,20.916948
rbf,0.001,3,10,0.007527872,20.916948
rbf,0.001,4,0,0.007527872,20.916948
rbf,0.001,4,1,0.007527872,20.916948
rbf,0.001,4,10,0.007527872,20.916948
rbf,0.001,5,0,0.007527872,20.916948
rbf,0.001,5,1,0.007527872,20.916948
rbf,0.001,5,10,0.007527872,20.916948
rbf,0.001,6,0,0.007527872,20.916948
rbf,0.001,6,1,0.007527872,20.916948
rbf,0.001,6,10,0.007527872,20.916948
rbf,0.0001,2,0,0.015651051,17.738235
rbf,0.0001,2,1,0.015651051,17.738235
rbf,0.0001,2,10,0.015651051,17.738235
rbf,0.0001,3,0,0.015651051,17.738235
rbf,0.0001,3,1,0.015651051,17.738235
rbf,0.0001,3,10,0.015651051,17.738235
rbf,0.0001,4,0,0.015651051,17.738235
rbf,0.0001,4,1,0.015651051,17.738235
rbf,0.0001,4,10,0.015651051,17.738235
rbf,0.0001,5,0,0.015651051,17.738235
rbf,0.0001,5,1,0.015651051,17.738235
rbf,0.0001,5,10,0.015651051,17.738235
rbf,0.0001,6,0,0.015651051,17.738235
rbf,0.0001,6,1,0.015651051,17.738235
rbf,0.0001,6,10,0.015651051,17.738235
rbf,1e-05,2,0,0.015965194,17.65193
rbf,1e-05,2,1,0.015965194,17.65193
rbf,1e-05,2,10,0.015965194,17.65193
rbf,1e-05,3,0,0.015965194,17.65193
rbf,1e-05,3,1,0.015965194,17.65193
rbf,1e-05,3,10,0.015965194,17.65193
rbf,1e-05,4,0,0.015965194,17.65193
rbf,1e-05,4,1,0.015965194,17.65193
rbf,1e-05,4,10,0.015965194,17.65193
rbf,1e-05,5,0,0.015965194,17.65193
rbf,1e-05,5,1,0.015965194,17.65193
rbf,1e-05,5,10,0.015965194,17.65193
rbf,1e-05,6,0,0.015965194,17.65193
rbf,1e-05,6,1,0.015965194,17.65193
rbf,1e-05,6,10,0.015965194,17.65193
rbf,1e-06,2,0,0.015967824,17.651215
rbf,1e-06,2,1,0.015967824,17.651215
rbf,1e-06,2,10,0.015967824,17.651215
rbf,1e-06,3,0,0.015967824,17.651215
rbf,1e-06,3,1,0.015967824,17.651215
rbf,1e-06,3,10,0.015967824,17.651215
rbf,1e-06,4,0,0.015967824,17.651215
rbf,1e-06,4,1,0.015967824,17.651215
rbf,1e-06,4,10,0.015967824,17.651215
rbf,1e-06,5,0,0.015967824,17.651215
rbf,1e-06,5,1,0.015967824,17.651215
rbf,1e-06,5,10,0.015967824,17.651215
rbf,1e-06,6,0,0.015967824,17.651215
rbf,1e-06,6,1,0.015967824,17.651215
rbf,1e-06,6,10,0.015967824,17.651215
poly,0.001,2,0,0.4189184,3.462377
poly,0.001,2,1,0.0045004515,23.151112
poly,0.001,2,10,0.0031844042,24.653389
poly,0.001,3,0,0.41919702,3.4594896
poly,0.001,3,1,0.0028465532,25.140478
poly,0.001,3,10,0.0061643035,21.78483
poly,0.001,4,0,0.41919756,3.459484
poly,0.001,4,1,0.0035323726,24.203007
poly,0.001,4,10,0.016105922,17.613815
poly,0.001,5,0,0.4191976,3.4594836
poly,0.001,5,1,0.0047502997,22.916462
poly,0.001,5,10,0.0161328,17.606575
poly,0.001,6,0,0.4191976,3.4594836
poly,0.001,6,1,0.010687787,19.394794
poly,0.001,6,10,0.016134333,17.606161
poly,0.0001,2,0,0.4191976,3.4594836
poly,0.0001,2,1,0.015559239,17.763788
poly,0.0001,2,10,0.006510747,21.547363
poly,0.0001,3,0,0.4191976,3.4594836
poly,0.0001,3,1,0.014854631,17.965054
poly,0.0001,3,10,0.009117022,20.085142
poly,0.0001,4,0,0.4191976,3.4594836
poly,0.0001,4,1,0.013818879,18.278944
poly,0.0001,5,0,0.4191976,3.4594836
poly,0.0001,5,1,0.012496678,18.715725
poly,0.0001,6,0,0.4191976,3.4594836
poly,0.0001,6,1,0.01108448,19.236519
poly,0.0001,6,10,0.016140569,17.604483
poly,1e-05,2,0,0.4191976,3.4594836
poly,1e-05,2,1,0.015967824,17.651215
poly,1e-05,2,10,0.011212771,19.186543
poly,1e-05,3,0,0.4191976,3.4594836
poly,1e-05,3,1,0.015966417,17.651598
poly,1e-05,4,0,0.4191976,3.4594836
poly,1e-05,4,1,0.015971325,17.650263
poly,1e-05,5,0,0.4191976,3.4594836
poly,1e-05,5,1,0.015968693,17.650978
poly,1e-05,6,0,0.4191976,3.4594836
poly,1e-05,6,1,0.01596111,17.653042
poly,1e-06,2,0,0.4191976,3.4594836
poly,1e-06,2,1,0.015967824,17.651215
poly,1e-06,2,10,0.011212771,19.186543
poly,1e-06,3,0,0.4191976,3.4594836
poly,1e-06,3,1,0.015967824,17.651215
poly,1e-06,4,0,0.4191976,3.4594836
poly,1e-06,4,1,0.015967824,17.651215
poly,1e-06,5,0,0.4191976,3.4594836
poly,1e-06,5,1,0.015967824,17.651215
poly,1e-06,6,0,0.4191976,3.4594836
poly,1e-06,6,1,0.015967824,17.651215
cosine,0.001,2,0,0.12366565,8.761181
cosine,0.001,2,1,0.12366565,8.761181
cosine,0.001,2,10,0.12366565,8.761181
cosine,0.001,3,0,0.12366565,8.761181
cosine,0.001,3,1,0.12366565,8.761181
cosine,0.001,3,10,0.12366565,8.761181
cosine,0.001,4,0,0.12366565,8.761181
cosine,0.001,4,1,0.12366565,8.761181
cosine,0.001,4,10,0.12366565,8.761181
cosine,0.001,5,0,0.12366565,8.761181
cosine,0.001,5,1,0.12366565,8.761181
cosine,0.001,5,10,0.12366565,8.761181
cosine,0.001,6,0,0.12366565,8.761181
cosine,0.001,6,1,0.12366565,8.761181
cosine,0.001,6,10,0.12366565,8.761181
cosine,0.0001,2,0,0.12366565,8.761181
cosine,0.0001,2,1,0.12366565,8.761181
cosine,0.0001,2,10,0.12366565,8.761181
cosine,0.0001,3,0,0.12366565,8.761181
cosine,0.0001,3,1,0.12366565,8.761181
cosine,0.0001,3,10,0.12366565,8.761181
cosine,0.0001,4,0,0.12366565,8.761181
cosine,0.0001,4,1,0.12366565,8.761181
cosine,0.0001,4,10,0.12366565,8.761181
cosine,0.0001,5,0,0.12366565,8.761181
cosine,0.0001,5,1,0.12366565,8.761181
