Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,0.001,2,0,0.33012354,4.4969063
linear,0.001,2,1,0.33012354,4.4969063
linear,0.001,2,10,0.33012354,4.4969063
linear,0.001,3,0,0.33012354,4.4969063
linear,0.001,3,1,0.33012354,4.4969063
linear,0.001,3,10,0.33012354,4.4969063
linear,0.001,4,0,0.33012354,4.4969063
linear,0.001,4,1,0.33012354,4.4969063
linear,0.001,4,10,0.33012354,4.4969063
linear,0.001,5,0,0.33012354,4.4969063
linear,0.001,5,1,0.33012354,4.4969063
linear,0.001,5,10,0.33012354,4.4969063
linear,0.001,6,0,0.33012354,4.4969063
linear,0.001,6,1,0.33012354,4.4969063
linear,0.001,6,10,0.33012354,4.4969063
linear,0.0001,2,0,0.33012354,4.4969063
linear,0.0001,2,1,0.33012354,4.4969063
linear,0.0001,2,10,0.33012354,4.4969063
linear,0.0001,3,0,0.33012354,4.4969063
linear,0.0001,3,1,0.33012354,4.4969063
linear,0.0001,3,10,0.33012354,4.4969063
linear,0.0001,4,0,0.33012354,4.4969063
linear,0.0001,4,1,0.33012354,4.4969063
linear,0.0001,4,10,0.33012354,4.4969063
linear,0.0001,5,0,0.33012354,4.4969063
linear,0.0001,5,1,0.33012354,4.4969063
linear,0.0001,5,10,0.33012354,4.4969063
linear,0.0001,6,0,0.33012354,4.4969063
linear,0.0001,6,1,0.33012354,4.4969063
linear,0.0001,6,10,0.33012354,4.4969063
linear,1e-05,2,0,0.33012354,4.4969063
linear,1e-05,2,1,0.33012354,4.4969063
linear,1e-05,2,10,0.33012354,4.4969063
linear,1e-05,3,0,0.33012354,4.4969063
linear,1e-05,3,1,0.33012354,4.4969063
linear,1e-05,3,10,0.33012354,4.4969063
linear,1e-05,4,0,0.33012354,4.4969063
linear,1e-05,4,1,0.33012354,4.4969063
linear,1e-05,4,10,0.33012354,4.4969063
linear,1e-05,5,0,0.33012354,4.4969063
linear,1e-05,5,1,0.33012354,4.4969063
linear,1e-05,5,10,0.33012354,4.4969063
linear,1e-05,6,0,0.33012354,4.4969063
linear,1e-05,6,1,0.33012354,4.4969063
linear,1e-05,6,10,0.33012354,4.4969063
linear,1e-06,2,0,0.33012354,4.4969063
linear,1e-06,2,1,0.33012354,4.4969063
linear,1e-06,2,10,0.33012354,4.4969063
linear,1e-06,3,0,0.33012354,4.4969063
linear,1e-06,3,1,0.33012354,4.4969063
linear,1e-06,3,10,0.33012354,4.4969063
linear,1e-06,4,0,0.33012354,4.4969063
linear,1e-06,4,1,0.33012354,4.4969063
linear,1e-06,4,10,0.33012354,4.4969063
linear,1e-06,5,0,0.33012354,4.4969063
linear,1e-06,5,1,0.33012354,4.4969063
linear,1e-06,5,10,0.33012354,4.4969063
linear,1e-06,6,0,0.33012354,4.4969063
linear,1e-06,6,1,0.33012354,4.4969063
linear,1e-06,6,10,0.33012354,4.4969063
rbf,0.001,2,0,0.0059851115,21.912949
rbf,0.001,2,1,0.0059851115,21.912949
rbf,0.001,2,10,0.0059851115,21.912949
rbf,0.001,3,0,0.0059851115,21.912949
rbf,0.001,3,1,0.0059851115,21.912949
rbf,0.001,3,10,0.0059851115,21.912949
rbf,0.001,4,0,0.0059851115,21.912949
rbf,0.001,4,1,0.0059851115,21.912949
rbf,0.001,4,10,0.0059851115,21.912949
rbf,0.001,5,0,0.0059851115,21.912949
rbf,0.001,5,1,0.0059851115,21.912949
rbf,0.001,5,10,0.0059851115,21.912949
rbf,0.001,6,0,0.0059851115,21.912949
rbf,0.001,6,1,0.0059851115,21.912949
rbf,0.001,6,10,0.0059851115,21.912949
rbf,0.0001,2,0,0.011804394,18.963234
rbf,0.0001,2,1,0.011804394,18.963234
rbf,0.0001,2,10,0.011804394,18.963234
rbf,0.0001,3,0,0.011804394,18.963234
rbf,0.0001,3,1,0.011804394,18.963234
rbf,0.0001,3,10,0.011804394,18.963234
rbf,0.0001,4,0,0.011804394,18.963234
rbf,0.0001,4,1,0.011804394,18.963234
rbf,0.0001,4,10,0.011804394,18.963234
rbf,0.0001,5,0,0.011804394,18.963234
rbf,0.0001,5,1,0.011804394,18.963234
rbf,0.0001,5,10,0.011804394,18.963234
rbf,0.0001,6,0,0.011804394,18.963234
rbf,0.0001,6,1,0.011804394,18.963234
rbf,0.0001,6,10,0.011804394,18.963234
rbf,1e-05,2,0,0.012039253,18.877676
rbf,1e-05,2,1,0.012039253,18.877676
rbf,1e-05,2,10,0.012039253,18.877676
rbf,1e-05,3,0,0.012039253,18.877676
rbf,1e-05,3,1,0.012039253,18.877676
rbf,1e-05,3,10,0.012039253,18.877676
rbf,1e-05,4,0,0.012039253,18.877676
rbf,1e-05,4,1,0.012039253,18.877676
rbf,1e-05,4,10,0.012039253,18.877676
rbf,1e-05,5,0,0.012039253,18.877676
rbf,1e-05,5,1,0.012039253,18.877676
rbf,1e-05,5,10,0.012039253,18.877676
rbf,1e-05,6,0,0.012039253,18.877676
rbf,1e-05,6,1,0.012039253,18.877676
rbf,1e-05,6,10,0.012039253,18.877676
rbf,1e-06,2,0,0.012041274,18.876947
rbf,1e-06,2,1,0.012041274,18.876947
rbf,1e-06,2,10,0.012041274,18.876947
rbf,1e-06,3,0,0.012041274,18.876947
rbf,1e-06,3,1,0.012041274,18.876947
rbf,1e-06,3,10,0.012041274,18.876947
rbf,1e-06,4,0,0.012041274,18.876947
rbf,1e-06,4,1,0.012041274,18.876947
rbf,1e-06,4,10,0.012041274,18.876947
rbf,1e-06,5,0,0.012041274,18.876947
rbf,1e-06,5,1,0.012041274,18.876947
rbf,1e-06,5,10,0.012041274,18.876947
rbf,1e-06,6,0,0.012041274,18.876947
rbf,1e-06,6,1,0.012041274,18.876947
rbf,1e-06,6,10,0.012041274,18.876947
poly,0.001,2,0,0.41884694,3.463118
poly,0.001,2,1,0.0041628163,23.4898
poly,0.001,2,10,0.0029505615,24.984625
poly,0.001,3,0,0.4191966,3.4594939
poly,0.001,3,1,0.0028710691,25.103235
poly,0.001,3,10,0.0037901753,23.897078
poly,0.001,4,0,0.41919744,3.459485
poly,0.001,4,1,0.0028792666,25.09085
poly,0.001,4,10,0.00708845,21.17816
poly,0.001,5,0,0.4191976,3.4594836
poly,0.001,5,1,0.0027644376,25.267603
poly,0.001,5,10,0.007119022,21.159468
poly,0.001,6,0,0.41919753,3.459484
poly,0.001,6,1,0.0034543367,24.300024
poly,0.001,6,10,0.007119747,21.159027
poly,0.0001,2,0,0.4191976,3.4594836
poly,0.0001,2,1,0.011732153,18.989895
poly,0.0001,2,10,0.0055888444,22.21045
poly,0.0001,3,0,0.4191976,3.4594836
poly,0.0001,3,1,0.011202017,19.19071
poly,0.0001,3,10,0.007971783,20.668116
poly,0.0001,4,0,0.4191976,3.4594836
poly,0.0001,4,1,0.010414382,19.507336
poly,0.0001,5,0,0.4191976,3.4594836
poly,0.0001,5,1,0.009458826,19.925299
poly,0.0001,6,0,0.4191976,3.4594836
poly,0.0001,6,1,0.008474745,20.402405
poly,0.0001,6,10,0.007113874,21.16261
poly,1e-05,2,0,0.4191976,3.4594836
poly,1e-05,2,1,0.012041274,18.876947
poly,1e-05,2,10,0.009051015,20.1167
poly,1e-05,3,0,0.4191976,3.4594836
poly,1e-05,3,1,0.012040752,18.877136
poly,1e-05,4,0,0.4191976,3.4594836
poly,1e-05,4,1,0.012041964,18.876698
poly,1e-05,5,0,0.4191976,3.4594836
poly,1e-05,5,1,0.012040225,18.877325
poly,1e-05,6,0,0.4191976,3.4594836
poly,1e-05,6,1,0.012037947,18.878147
poly,1e-06,2,0,0.4191976,3.4594836
poly,1e-06,2,1,0.012041274,18.876947
poly,1e-06,2,10,0.009051015,20.1167
poly,1e-06,3,0,0.4191976,3.4594836
poly,1e-06,3,1,0.012041274,18.876947
poly,1e-06,4,0,0.4191976,3.4594836
poly,1e-06,4,1,0.012041274,18.876947
poly,1e-06,5,0,0.4191976,3.4594836
poly,1e-06,5,1,0.012041274,18.876947
poly,1e-06,6,0,0.4191976,3.4594836
poly,1e-06,6,1,0.012041274,18.876947
cosine,0.001,2,0,0.11504304,9.0750675
cosine,0.001,2,1,0.11504304,9.0750675
cosine,0.001,2,10,0.11504304,9.0750675
cosine,0.001,3,0,0.11504304,9.0750675
cosine,0.001,3,1,0.11504304,9.0750675
cosine,0.001,3,10,0.11504304,9.0750675
cosine,0.001,4,0,0.11504304,9.0750675
cosine,0.001,4,1,0.11504304,9.0750675
cosine,0.001,4,10,0.11504304,9.0750675
cosine,0.001,5,0,0.11504304,9.0750675
cosine,0.001,5,1,0.11504304,9.0750675
cosine,0.001,5,10,0.11504304,9.0750675
cosine,0.001,6,0,0.11504304,9.0750675
cosine,0.001,6,1,0.11504304,9.0750675
cosine,0.001,6,10,0.11504304,9.0750675
cosine,0.0001,2,0,0.11504304,9.0750675
cosine,0.0001,2,1,0.11504304,9.0750675
cosine,0.0001,2,10,0.11504304,9.0750675
cosine,0.0001,3,0,0.11504304,9.0750675
cosine,0.0001,3,1,0.11504304,9.0750675
cosine,0.0001,3,10,0.11504304,9.0750675
cosine,0.0001,4,0,0.11504304,9.0750675
cosine,0.0001,4,1,0.11504304,9.0750675
cosine,0.0001,4,10,0.11504304,9.0750675
cosine,0.0001,5,0,0.11504304,9.0750675
cosine,0.0001,5,1,0.11504304,9.0750675
cosine,0.0001,5,10,0.11504304,9.0750675
cosine,0.0001,6,0,0.11504304,9.0750675
cosine,0.0001,6,1,0.11504304,9.0750675
cosine,0.0001,6,10,0.11504304,9.0750675
cosine,1e-05,2,0,0.11504304,9.0750675
cosine,1e-05,2,1,0.11504304,9.0750675
